crop_name,agro_zone,crop_group,temp_lo,temp_hi,ph_lo,ph_hi,seasons_text,ph_is_real,temp_is_real,service_zone,kau_zone_source
Mangium,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,General (planting timing not separately specified; nursery Jan-Feb pod collection),False,False,high_ranges,General (all zones)
Mango,General (all zones),Fruits,22.0,32.0,5.9,6.5,Onset of monsoon showers (or August-September in heavy rainfall areas),False,False,coastal_zone,General (all zones)
Mango,General (all zones),Fruits,22.0,32.0,5.9,6.5,Onset of monsoon showers (or August-September in heavy rainfall areas),False,False,southern_zone,General (all zones)
Mango,General (all zones),Fruits,22.0,32.0,5.9,6.5,Onset of monsoon showers (or August-September in heavy rainfall areas),False,False,central_zone,General (all zones)
Mango,General (all zones),Fruits,22.0,32.0,5.9,6.5,Onset of monsoon showers (or August-September in heavy rainfall areas),False,False,northern_zone,General (all zones)
Mango,General (all zones),Fruits,22.0,32.0,5.9,6.5,Onset of monsoon showers (or August-September in heavy rainfall areas),False,False,high_ranges,General (all zones)
Mango ginger,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,April (with commencement of pre-monsoon showers),False,False,coastal_zone,General (all zones)
Mango ginger,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,April (with commencement of pre-monsoon showers),False,False,southern_zone,General (all zones)
Mango ginger,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,April (with commencement of pre-monsoon showers),False,False,central_zone,General (all zones)
Mango ginger,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,April (with commencement of pre-monsoon showers),False,False,northern_zone,General (all zones)
Mango ginger,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,April (with commencement of pre-monsoon showers),False,False,high_ranges,General (all zones)
Marigold,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,,True,False,coastal_zone,General (all zones)
Marigold,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,,True,False,southern_zone,General (all zones)
Marigold,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,,True,False,central_zone,General (all zones)
Marigold,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,,True,False,northern_zone,General (all zones)
Marigold,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,,True,False,high_ranges,General (all zones)
Neela amari,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,September-October (sowing),False,False,coastal_zone,General (all zones)
Neela amari,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,September-October (sowing),False,False,southern_zone,General (all zones)
Neela amari,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,September-October (sowing),False,False,central_zone,General (all zones)
Neela amari,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,September-October (sowing),False,False,northern_zone,General (all zones)
Neela amari,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,September-October (sowing),False,False,high_ranges,General (all zones)
Neem,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,coastal_zone,General (all zones)
Neem,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,southern_zone,General (all zones)
Neem,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,central_zone,General (all zones)
Neem,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,northern_zone,General (all zones)
Neem,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,high_ranges,General (all zones)
Nilappana,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Rainfed crop planted with onset of monsoon in May-June; irrigated crop can be planted any time,False,False,coastal_zone,General (all zones)
Nilappana,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Rainfed crop planted with onset of monsoon in May-June; irrigated crop can be planted any time,False,False,southern_zone,General (all zones)
